mid,x,y,z,mpitch,mroll,myaw,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,flight_time,agx,agy,agz,est_x,est_y,cntl_x,cntl_y,residual1,residual2,residual3,residual4,class,class_raw
12,33,-18,94,0,174,-179,0,0,61,0,0,0,69,71,96,80,72,243.88,53,9,2,-1008,32.96959895,-18.05766452,23.8640128,-19.02196278,-19.83429271,9.552419315,-1.340209046,1.466591546,fdi,FDI
12,23,-18,99,0,174,-179,0,0,61,0,0,0,69,71,96,80,72,243.93,53,1,21,-1017,23.71673648,-18.04165914,26.94574879,-19.40060866,-29.17602927,10.31881459,-10.61878853,1.349954769,fdi,FDI
12,23,-18,99,0,174,-179,0,0,61,0,0,0,69,71,97,80,72,243.94,53,-20,6,-1015,22.70152144,-18.00521259,27.55586379,-19.76876365,-15.75243199,10.41606103,2.051034054,0.944318971,fdi,FDI
12,23,-18,99,0,174,-179,-1,0,61,0,0,0,68,71,99,80,72,243.94,54,-3,18,-985,22.69976515,-17.9799247,28.32454915,-20.13386556,-13.51145241,10.41411715,2.261410233,0.656975892,fdi,FDI
12,27,-18,99,0,174,-179,-1,-1,61,0,0,0,68,71,99,80,72,243.97,54,-5,23,-1041,26.45543461,-17.96429696,28.09188093,-20.49757919,-9.206946526,10.40335859,5.401894175,0.478587675,fdi,FDI
12,27,-18,99,0,174,-179,-1,-1,61,0,0,0,68,71,100,80,72,243.92,54,15,4,-974,26.91377997,-17.95483935,28.85766467,-20.86051703,-14.52204445,10.39541433,-0.254892023,0.370508713,fdi,FDI
12,35,-21,100,0,173,178,0,0,61,0,0,0,70,71,103,80,72,244.03,56,29,21,-1033,34.30375575,-20.70741653,27.50397532,-20.45067735,-7.432758908,7.390412313,7.275175934,-2.694664677,fdi,FDI
12,36,-18,106,-1,173,-179,0,0,61,0,0,0,69,71,98,80,71,244,57,13,24,-963,36.01570677,-18.24684082,27.86501515,-21.55604492,-17.2185934,14.3803817,-1.641551601,4.025206817,fdi,FDI
12,22,-35,98,0,174,-179,0,-1,61,1,0,0,70,71,104,80,71,244.02,59,-35,18,-954,23.23219183,-33.57324938,31.94952568,-17.49421651,-34.3405928,-5.948216253,-16.91134338,-16.70812764,fdi,FDI
12,27,-25,105,0,173,179,0,-2,61,0,0,0,70,71,103,80,71,244.07,60,67,15,-1077,26.35322658,-26.06084245,31.23949445,-20.25681339,-11.16644266,26.10155221,6.396091951,14.26531446,fdi,FDI
12,27,-25,105,0,173,179,0,-1,61,0,0,0,69,71,104,80,71,244,60,-28,35,-1056,26.79964888,-25.05931387,31.97995115,-20.27979578,-14.74524612,16.47848186,1.022252616,2.073876392,fdi,FDI
12,27,-25,105,0,173,179,0,-1,61,0,0,0,69,71,100,80,71,244.09,60,26,34,-983,26.87337705,-24.93165918,32.67763891,-20.41368325,-15.41564806,14.75836461,0.128001826,0.478016157,fdi,FDI
12,30,-19,105,0,173,178,0,-1,61,0,0,0,69,71,99,80,71,244.12,61,68,5,-1048,29.65026898,-19.40047551,32.59759427,-22.10808216,-12.53712359,20.47221368,2.906300971,6.287598893,fdi,FDI
12,30,-19,105,0,173,178,0,-1,61,0,0,0,70,71,99,80,71,244.02,61,24,25,-1073,29.95932206,-18.79725767,33.26039593,-22.31840971,-16.55432888,12.44132672,-0.944780528,-1.245187632,fdi,FDI
12,32,-18,101,0,173,-179,0,0,61,0,0,0,70,71,100,80,71,244.05,61,29,11,-1027,31.80190783,-17.87947589,33.36114491,-22.88130999,-15.22714716,12.10234682,0.955648851,-0.340294829,fdi,FDI
12,32,-18,101,0,173,-179,0,0,61,0,0,0,70,71,100,80,71,244.09,62,20,33,-1006,31.98127155,-17.82738912,33.94899512,-23.21362092,-17.98190988,10.59051872,-1.31535765,-1.060280218,fdi,FDI
12,32,-18,101,0,173,-179,0,-1,61,0,0,0,70,72,99,80,71,244.02,62,-11,25,-1025,31.96501191,-17.86259413,34.50307786,-23.5663375,-18.42977309,10.36396497,-1.168765551,-0.679731927,fdi,FDI
12,32,-18,101,0,173,-179,0,-1,61,0,0,0,70,72,97,80,71,243.98,62,-3,17,-1005,31.93913482,-17.8923694,35.0505601,-23.92388285,-18.48373526,10.34786527,-0.879482041,-0.342961884,fdi,FDI
12,32,-18,101,0,173,-179,0,0,61,0,0,0,70,72,97,80,71,244.03,63,-4,14,-1010,31.92154337,-17.91136607,35.59601781,-24.28328147,-18.48031053,10.3580403,-0.679416416,-0.126364534,fdi,FDI
12,31,-18,99,0,173,-179,0,0,61,0,0,0,70,71,100,80,70,244.11,64,40,15,-949,30.99128244,-17.92293427,36.397965,-24.64365122,-19.47254543,10.36730364,-1.55571402,0.005795063,fdi,FDI
12,31,-18,99,0,173,-179,0,0,61,0,0,0,70,71,99,80,70,244.08,64,6,28,-1041,30.88435003,-17.92991655,36.95165455,-25.00458657,-18.13599161,10.37336041,-0.227777087,0.085602816,fdi,FDI
12,34,-17,101,-1,173,179,0,0,61,0,0,0,70,71,97,80,70,244,64,17,16,-998,33.63888864,-17.01469773,36.74850662,-25.62329945,-14.91043502,11.37707924,2.833863604,1.133699718,fdi,FDI
12,37,-18,99,0,173,178,0,0,61,0,0,0,70,72,97,80,70,244.04,65,-5,9,-992,36.70391762,-17.8362793,36.51885878,-25.73705474,-15.87132107,9.048324962,2.013719384,-1.090370908,fdi,FDI
12,37,-18,99,0,173,178,0,-1,61,0,0,0,70,72,98,80,70,244.06,65,23,27,-982,37.00878817,-17.93839556,36.98562894,-26.11445289,-20.52856295,10.15860184,-1.844252001,0.163643915,fdi,FDI
12,37,-17,98,-1,174,-179,0,0,61,0,0,0,70,72,100,80,70,244.06,66,34,16,-951,36.98692648,-17.02767118,37.3967301,-26.73640966,-21.28640582,11.35148654,-1.660382281,1.278855771,fdi,FDI
12,37,-17,98,-1,174,-179,0,0,61,0,0,0,70,72,101,80,70,244.06,67,2,30,-1076,36.94722705,-16.92565031,37.79714506,-27.10860915,-21.38006244,10.05024001,-1.217500624,0.009696247,fdi,FDI
12,35,-18,101,0,174,-179,0,0,61,0,0,0,70,72,99,80,70,244.04,67,10,12,-1018,35.08116421,-17.84343258,38.70924087,-27.23875956,-23.37628192,8.831507925,-2.908169,-1.0275603,fdi,FDI
12,35,-18,101,0,174,-179,0,0,61,0,0,0,70,72,98,80,70,244.01,67,24,42,-1001,34.8636246,-17.95058328,39.12441389,-27.6193435,-20.70246738,10.13217988,-0.210502825,0.299806591,fdi,FDI
12,34,-22,101,-2,173,179,0,0,61,0,0,0,70,72,99,80,70,244.11,68,-7,21,-1064,33.93446684,-21.63312755,39.82779235,-26.95507114,-21.24973326,6.352963085,-1.061516312,-3.62647477,fdi,FDI
12,34,-22,101,-2,173,179,0,0,61,0,0,0,70,72,101,80,70,244.08,68,-2,2,-926,33.8439523,-22.02981003,40.28864453,-27.27913343,-19.8533193,11.70891815,0.085060441,1.333518684,fdi,FDI
12,36,-24,100,-1,173,-179,0,0,61,0,0,0,70,72,106,80,70,244.12,69,11,17,-905,35.69092118,-23.86394052,40.25164894,-27.02451672,-17.62646215,10.59957949,2.012165254,-0.644420115,fdi,FDI
12,36,-24,100,-1,173,-179,0,-1,61,0,0,0,71,72,107,80,70,244.18,69,27,23,-981,35.90466844,-24.03027661,40.71342052,-27.25373092,-20.26108805,13.38036289,-0.639103642,1.480851234,fdi,FDI
12,37,-22,108,0,173,-178,0,-2,61,0,0,0,71,73,103,80,70,244.12,70,-20,17,-1087,36.83250689,-22.16632676,40.88717306,-27.96304539,-19.70693603,15.82634657,0.227477632,3.233734967,fdi,FDI
12,38,-18,103,0,173,-178,0,0,61,0,0,0,71,72,98,80,69,244.12,71,-10,18,-1008,37.84176818,-18.25654461,41.04599662,-29.1995971,-20.10186898,17.21437695,0.088743121,4.376230008,fdi,FDI
12,38,-19,96,0,173,-178,-1,0,61,0,0,0,69,72,94,80,69,244.06,72,-3,23,-932,37.93363463,-18.75399133,41.43548403,-29.21712657,-21.65924795,10.43997454,-1.086864746,-1.906603359,fdi,FDI
12,38,-19,96,0,173,-178,0,-1,61,0,0,0,69,72,92,80,69,244.06,73,6,15,-1023,37.92019836,-18.85837684,41.80583047,-29.55015122,-21.90848586,10.8130961,-0.955457225,-0.689459264,fdi,FDI
12,38,-27,91,0,173,-179,0,-1,61,0,0,0,70,72,95,80,69,244.1,74,-21,25,-970,37.90323081,-26.24939005,42.17230362,-27.82013549,-21.93669505,2.906997168,-0.765165031,-8.277155893,fdi,FDI
12,38,-27,91,0,173,-179,0,0,61,0,0,0,70,72,96,80,69,244.15,75,-4,19,-1027,37.89190806,-27.07016562,42.53752869,-28.07238729,-21.93347703,13.58253872,-0.6363066,1.951024778,fdi,FDI
12,34,-30,96,0,173,178,0,-1,61,0,0,0,70,72,97,80,69,244.13,75,11,37,-904,34.20725225,-29.83696204,43.93190894,-27.4266181,-25.92834161,12.37030747,-4.556933596,-0.800326215,fdi,FDI
12,34,-30,98,1,173,178,0,-1,61,0,0,0,71,73,98,80,69,244.13,76,0,8,-959,33.80153356,-30.08024387,44.33505981,-27.50173015,-20.60074244,16.60919801,0.503268559,2.322672479,fdi,FDI
12,34,-30,98,1,173,178,0,-1,61,0,0,0,71,73,99,80,69,244.14,76,9,21,-1010,33.79984158,-30.0368971,44.80120162,-27.52362402,-19.71017466,17.28477033,0.598160818,1.887819662,fdi,FDI
12,34,-30,98,1,173,178,0,-1,61,0,0,0,71,73,101,80,69,244.15,77,9,18,-914,33.83028465,-29.98625237,45.27859772,-27.5345303,-19.58875113,17.35835792,0.262757108,1.318934071,fdi,FDI
12,40,-24,99,0,173,179,0,-1,61,0,0,0,70,72,99,80,69,244.15,77,25,29,-932,39.36910912,-24.43613642,44.21434048,-29.08644295,-13.5849261,23.34731438,6.010209518,6.936893156,fdi,FDI
12,40,-24,99,0,173,179,0,-1,61,0,0,0,70,72,98,80,69,244.14,78,1,24,-996,39.98526607,-23.81328402,44.63768448,-29.15025173,-21.57967634,15.34586239,-1.666447221,-0.816368892,fdi,FDI
12,39,-30,100,-1,173,176,0,-1,61,0,0,0,71,73,98,80,69,244.11,78,-8,12,-1013,39.07299324,-29.31866687,45.22437074,-27.7632034,-23.91912775,8.002723762,-2.861505901,-7.057406388,fdi,FDI
12,40,-24,99,0,173,-179,-1,-2,61,0,0,0,71,73,95,80,68,244.07,79,-10,7,-1017,39.84916092,-24.44484346,45.28924035,-29.42358309,-21.77266194,21.8020437,-0.137189896,6.904461206,fdi,FDI
12,39,-21,96,0,173,179,0,-1,61,0,0,0,70,73,95,80,68,244.1,80,14,18,-1007,38.99860175,-21.1132924,45.87073048,-30.27938091,-23.88880119,18.14000616,-2.014113674,2.828066004,fdi,FDI
12,42,-23,97,0,173,-179,0,-1,61,0,0,0,71,73,102,80,68,244.23,80,16,30,-979,41.64447249,-22.62324679,45.41740066,-29.95661736,-19.73767681,11.00599562,2.360248285,-3.34328442,fdi,FDI
12,42,-23,97,0,173,-179,0,-1,61,0,0,0,71,73,105,80,68,244.24,81,3,26,-972,41.93161289,-22.84929227,45.71996071,-30.19012494,-23.52799742,12.83556131,-1.222705364,-0.620764172,fdi,FDI
12,43,-22,108,-1,173,-179,-2,-1,61,0,0,0,72,73,102,80,68,244.25,83,3,36,-999,42.84896942,-21.97347429,45.71950952,-30.66117748,-23.16096596,14.17738304,-0.252988724,0.903512962,fdi,FDI
12,42,-24,107,-1,173,177,0,-1,61,0,0,0,71,73,97,80,68,244.22,83,18,29,-957,42.00595645,-23.72605584,46.21595189,-30.36745952,-25.57691389,10.91081271,-2.241086558,-2.183838091,fdi,FDI
12,43,-23,99,-1,173,-179,1,-2,61,0,0,0,71,73,98,80,68,244.27,84,-7,26,-1059,42.80751517,-23.01455392,46.18918611,-30.84252746,-23.46956206,14.3653269,0.191556336,1.385998114,fdi,FDI
12,43,-23,99,-1,173,-179,0,-1,61,0,0,0,71,73,101,80,68,244.22,85,-17,15,-935,42.88936528,-22.92574904,46.42212056,-31.04138111,-24.60154129,13.45333852,-0.834153349,0.300001746,fdi,FDI
12,44,-29,98,0,173,176,0,-1,61,0,0,0,71,73,100,80,68,244.22,85,42,23,-1016,43.8042652,-28.43471826,46.38336012,-29.70665701,-23.78895694,7.292857441,0.20132295,-5.799809216,fdi,FDI
12,44,-29,98,0,173,176,0,-1,61,0,0,0,71,73,99,80,68,244.25,85,18,26,-1069,43.89491366,-29.03843906,46.5895956,-29.8600221,-25.1434882,15.25398149,-0.94321551,1.732760851,fdi,FDI
12,44,-23,100,-1,173,-179,0,-1,61,0,0,0,71,73,101,80,68,244.31,86,-3,47,-1093,43.88796323,-23.52225266,46.77922673,-31.46358716,-25.3647235,22.58371338,-0.883083953,7.849970214,fdi,FDI
12,41,-22,102,0,173,-179,-1,0,61,0,0,0,71,73,100,80,68,244.2,87,34,10,-945,41.11752683,-21.95367266,47.73796251,-31.82131266,-28.39182856,15.77809235,-3.747320143,0.814661878,fdi,FDI
12,44,-26,101,0,173,-178,-1,0,61,0,0,0,71,72,101,80,67,244.18,88,16,34,-1017,43.56634998,-25.49813781,47.1802444,-30.99182324,-21.39744337,9.119579435,3.106392573,-4.924366238,fdi,FDI
12,44,-26,101,0,173,-178,0,-1,61,0,0,0,71,73,100,80,67,244.23,88,4,21,-1022,43.86298956,-25.92656347,47.41263597,-31.18414318,-24.72056516,14.02792419,-0.544735947,0.358077138,fdi,FDI
12,44,-26,101,0,173,-178,1,-1,61,0,0,0,71,73,100,80,67,244.25,88,-3,34,-1059,43.88323321,-25.95561276,47.60591004,-31.31963376,-25.29414474,14.87108367,-0.823370655,0.759619662,fdi,FDI
12,45,-27,101,0,173,-178,0,-1,61,0,0,0,71,73,101,80,67,244.18,89,10,19,-1042,44.79420224,-26.86275136,47.5353539,-31.18841903,-24.38029816,13.99743465,0.265351128,-0.369185904,fdi,FDI
12,45,-27,101,0,173,-178,0,0,61,0,0,0,72,73,101,80,67,244.26,89,18,21,-1059,44.88689129,-26.95199464,47.71112335,-31.3029053,-25.71947136,15.34046713,-0.901055972,0.758417798,fdi,FDI
12,41,-30,102,0,173,178,0,0,61,0,0,0,72,73,100,80,67,244.25,90,34,15,-988,41.20403204,-29.70290816,48.90035165,-30.62855184,-29.93947169,12.55956054,-4.861216617,-2.306605785,fdi,FDI
12,40,-40,99,-2,173,173,0,-3,61,0,0,0,71,73,97,80,67,244.33,91,47,14,-972,39.87208295,-39.18595591,49.35303348,-28.1197569,-25.6431365,6.57921682,-0.72640065,-8.685482352,fdi,FDI
12,43,-29,99,0,173,-178,0,-3,61,0,0,0,71,73,94,80,67,244.2,92,26,21,-912,42.5232073,-30.06700184,48.84795872,-30.87163775,-20.42297828,31.55400145,3.679142504,14.79859399,fdi,FDI
12,43,-15,95,-2,173,178,1,-1,61,0,0,0,71,73,96,80,67,244.21,93,-40,43,-975,42.85181926,-16.05959042,49.11280737,-34.33575519,-24.07056589,33.22014734,-0.36264734,14.85601104,fdi,FDI
12,43,-30,98,0,173,178,0,0,61,0,0,0,72,73,100,80,67,244.31,94,56,20,-972,42.87952012,-28.34753141,49.33592714,-30.61297343,-24.70139786,-2.557073424,-0.73083389,-18.98328968,fdi,FDI
12,47,-32,101,0,173,-179,0,-2,61,0,0,0,71,73,100,80,67,244.28,95,46,16,-990,46.55176346,-31.7122431,48.52269845,-30.33482526,-20.79840708,11.96756189,3.322946229,-2.250901183,fdi,FDI
12,20,-38,79,0,174,-179,1,0,61,0,0,0,80,81,83,30,65,244.61,113,3,2,-950,17.24137931,-32.75862069,9.172413793,31.57241379,20,-38,20,-38,fdi,FDI
12,-2,27,106,0,174,-179,0,0,61,1,0,0,79,81,99,40,65,244.75,117,14,1,-956,0.086021381,20.50227369,13.3207416,14.40419095,-27.86206897,76.13793103,-19.62452107,60.48659004,fdi,FDI
12,5,9,103,0,174,-179,0,-2,61,0,0,0,78,80,99,40,65,244.76,120,15,13,-1067,4.258437608,10.91699391,12.79211652,21.5360458,3.293942636,-18.28926544,7.642421827,-20.45325273,fdi,FDI
12,6,7,102,0,174,178,0,-2,61,0,0,0,78,81,106,50,65,244.81,122,15,5,-961,5.768200762,7.625721346,13.95025052,24.05082831,-0.735121025,-9.803603318,2.442355325,-7.524691664,fdi,FDI
12,7,13,103,0,174,-179,0,0,61,0,0,0,78,81,103,40,65,244.76,122,0,10,-1047,6.880775629,12.64343634,15.04117169,24.65253285,-2.002117977,0.907059269,1.162448966,4.046563621,fdi,FDI
12,7,18,104,0,174,-178,1,0,61,0,0,0,77,80,102,40,65,244.78,124,35,13,-1045,7.003123334,17.75147847,16.35611981,25.49386371,-3.721691467,-1.228218611,-0.348294154,2.698932441,fdi,FDI
12,8,21,102,0,174,-179,-1,0,61,0,0,0,78,80,99,40,65,244.72,125,-49,37,-1054,7.9227133,20.98348594,17.3946583,26.71175937,-3.005828186,-6.063148229,0.620930338,-0.326278131,fdi,FDI
12,8,22,100,-1,174,179,0,-2,61,0,0,0,78,80,98,40,65,244.7,126,10,13,-957,8.013959237,22.14222674,18.67740754,28.31940774,-4.375366408,-10.315054,-0.529682646,-2.489015918,fdi,FDI
12,11,22,101,-1,174,-176,0,0,61,0,0,0,77,80,103,40,65,244.73,127,8,-8,-1002,10.76523057,22.15976336,19.17119509,30.10816772,-1.598905028,-12.4573178,2.529403601,-2.871772383,fdi,FDI
12,13,25,103,1,174,178,0,0,61,0,0,0,78,80,102,40,65,244.84,128,-12,17,-1006,12.89306353,24.83865475,19.89000851,31.09416206,-3.619296511,-9.75497486,0.906754113,1.003263894,fdi,FDI
12,13,25,103,1,174,178,0,0,61,0,0,0,78,80,101,40,65,244.79,129,19,-1,-990,13.08488696,25.08051735,21.05589769,32.81522546,-6.946233206,-13.75537708,-1.554192249,-2.08315356,fdi,FDI
12,14,27,103,1,174,178,0,-1,61,0,0,0,77,80,99,40,65,244.76,129,-10,21,-1077,13.97478889,26.88161703,21.92376971,33.97059516,-6.476830672,-12.39803409,-0.26406592,0.290855231,fdi,FDI
12,14,27,103,1,174,178,0,0,61,0,0,0,77,80,98,40,64,244.76,130,-29,11,-917,14.03869232,27.0358746,23.03112818,35.61100952,-7.867506564,-15.13148939,-1.107950126,-1.693215785,fdi,FDI
12,16,27,98,0,174,179,0,-2,61,0,0,0,77,80,98,40,64,244.75,131,38,-3,-1026,15.85304474,27.00447788,23.6051439,37.21643724,-6.082541669,-15.56604474,1.151997451,-1.373600069,fdi,FDI
12,18,35,98,1,173,179,0,-1,61,0,0,0,77,80,101,40,64,244.88,132,17,-17,-906,17.8697587,34.32489012,24.15559028,36.75501764,-6.763531784,-7.611920619,0.904321274,7.019936939,fdi,FDI
12,18,35,98,1,173,179,0,0,61,0,0,0,77,80,102,40,64,244.82,132,-36,7,-1016,18.05529207,35.10483933,25.16838387,38.27290577,-9.862780399,-18.25165095,-1.466022133,-2.741556297,fdi,FDI
12,18,35,98,1,173,179,0,0,61,0,0,0,77,80,101,40,64,244.81,132,21,19,-945,18.02984921,35.0890144,26.14312577,39.66318903,-10.3599011,-20.01762147,-1.219328447,-2.711909999,fdi,FDI
12,19,35,103,1,174,-179,0,-1,61,0,0,0,77,80,104,40,64,244.85,133,7,-1,-1031,18.91624016,35.01653032,26.85276869,41.03002289,-9.416729143,-20.25044067,0.151002293,-1.90854057,fdi,FDI
12,20,33,104,-1,174,-176,0,0,61,0,0,0,77,80,104,40,63,244.82,134,0,6,-983,19.91394613,33.12615451,27.55024336,42.90520801,-9.741726647,-22.251918,0.149436906,-3.323549376,fdi,FDI
12,20,33,104,-1,174,-176,0,0,61,0,0,0,77,79,102,40,63,244.75,134,36,-6,-1008,20.00054274,32.89342312,28.47846322,44.28206937,-11.28482975,-19.56872574,-0.965111682,-0.452563277,fdi,FDI
12,23,38,104,0,174,-177,0,0,60,0,0,0,77,79,103,40,63,244.84,135,38,0,-991,22.74241447,37.47161012,28.61505269,44.40173775,-8.529945389,-14.10841548,2.200382209,4.801688745,fdi,FDI
12,23,38,104,0,174,-177,0,-1,60,0,0,0,77,79,104,40,63,244.79,135,1,-4,-961,23.02481839,37.97781553,29.49080074,45.76476128,-12.54937658,-20.69317848,-1.348251346,-1.506504686,fdi,FDI
12,24,39,101,1,174,-178,0,0,60,0,0,0,77,79,105,40,63,244.79,136,12,24,-1010,23.93122987,38.90075027,30.06038117,46.79231536,-12.21143656,-20.79586599,-0.256711067,-0.640051267,fdi,FDI
12,26,40,105,1,174,-179,0,-1,60,0,0,0,77,79,105,40,63,244.88,136,3,-14,-965,25.83889487,39.88357502,30.35361865,47.79624865,-11.62678553,-21.27780196,0.841558455,-0.485956664,fdi,FDI
12,26,40,105,1,174,-179,0,0,60,0,0,0,77,79,104,40,62,244.73,137,-35,-28,-991,26.01746714,39.95658278,31.12383482,49.02844047,-14.50921173,-22.83600288,-1.431308485,-1.447468584,fdi,FDI
12,29,41,105,1,174,-179,0,-1,61,0,0,0,77,79,100,40,62,244.72,138,-29,-22,-1010,28.75374301,40.85086295,31.08608218,49.98299492,-11.97405195,-22.07752542,1.779062542,-0.182425132,fdi,FDI
12,29,41,105,1,174,-179,0,0,61,0,0,0,77,79,99,40,62,244.74,138,14,-3,-976,29.02487406,40.92718185,31.78436698,51.18081375,-16.02094558,-23.43083348,-1.643886258,-1.164128353,fdi,FDI
12,35,39,101,0,174,179,0,0,60,0,0,0,78,80,99,40,62,244.69,139,29,16,-917,34.52064021,39.07251995,30.88836279,52.87611957,-10.68204975,-25.64595588,4.536047658,-3.002871333,fdi,FDI
